Teacher Name,Department + Class,Rating,Comment,Rating ID
The Crown College of the Bible - Clarence Sexton CM101,CM101 Religion,5,"Great man of God! I learn something every time he speaks! He is continually learning himself, which makes him and excellent teacher!",UmF0aW5nLTE2MTg2OTA2
The Crown College of the Bible - Clarence Sexton CM132,CM132 Religion,1,Very mean to students and staff.,UmF0aW5nLTI2MDMxMTEz
The Crown College of the Bible - Clarence Sexton PERSOBI10,PERSOBI10 Religion,5,Dr. Sexton is a great man of God who gives his life to teaching others what he has been taught.  He has high standards and loves the Lord.,UmF0aW5nLTE2MDc2MDgx
The Crown College of the Bible - Clarence Sexton EV101,EV101 Religion,5,"Clarence Sexton is a man of God that wants to teach what he knows.  If you are interested in the things of the Lord, he will invest many hours in you.",UmF0aW5nLTE0MTU5OTYz
The Crown College of the Bible - Clarence Sexton CM121,CM121 Religion,5,"Dr Clarence Sexton is an excellent teacher. He is clear in his teaching, and is very intelligent. If you need help, he's always there for you. I highly recommend him.",UmF0aW5nLTIzNzg1NDMx
The Crown College of the Bible - Clarence Sexton FRESH101,FRESH101 Religion,4,"DO NOT MESS WITH THIS MAN! He will confiscate your cell-phone, your books, games, YOUR SOUL. JK He may come on strong with different ideas than you are used to, but always will come out with a great point. As long as you don't try to act like a rebl and don't do anything stupid you will be fine. Listening comes before notes.",UmF0aW5nLTEyMzU4NzIy
The Crown College of the Bible - Clarence Sexton LIVILIFE101,LIVILIFE101 Religion,5,Great   Great     Great   Bible teacher. Sensitive to the leading of the Lord. Passionate for Souls. His influence on me has been life changing.,UmF0aW5nLTI1NDI3MDQ4
The Crown College of the Bible - Clarence Sexton LIVILIFE,LIVILIFE Religion,1,Very opinionated and not willing to listen.,UmF0aW5nLTE1ODU5MTcz
Manchester University - Matt Hendryx ECON221,ECON221 Economics,4,"He is a really great teacher. I wasn't so sure I would like Microeconomics, and he has made it interesting. Don't waste your money on buying the $100 book, we never used it. You must also pass the fundamentals test to even pass the class, which is a downfall for anyone with test anxiety. The information is presented in a understandable manner.",UmF0aW5nLTE1MDc2NjY3
Manchester University - Matt Hendryx ECON221,ECON221 Economics,4,"There are three parts to this course: lecture notes, in-class activities, and the Fundamentals test. Professor Hendryx is a great economics professor, so if you pay attention to his lectures, it's a pretty straight-forward course.",UmF0aW5nLTIxNzMzNzIy
Manchester University - Matt Hendryx MATH115,MATH115 Economics,1,worst stats professor ever,UmF0aW5nLTE4NzI3Mzgw
DigiPen Institute of Technology - Antoine Abi Chacra CS230,CS230 Computer Science,2,"While I don't doubt Tony has a clear understanding of the subject matter, I (and the majority of my peers) learned much more from doing the assignments than we ever did in the classroom. His lectures were constantly plagued with students falling asleep, and his habit of teaching something over and over again became tedious fast.",UmF0aW5nLTIwNjE4NjI3
DigiPen Institute of Technology - Antoine Abi Chacra CS116CS175,CS116CS175 Computer Science,4,Very interested in the material and helping students. Always available and willing to discuss or explain. Definitely one of the better professors I've ever had.,UmF0aW5nLTIxNDcyMjg2
DigiPen Institute of Technology - Antoine Abi Chacra CS230,CS230 Computer Science,1,Awful professor.,UmF0aW5nLTI2MzA4MTM4
DigiPen Institute of Technology - Antoine Abi Chacra COS126ECONUA,COS126ECONUA Computer Science,5,Best professor ever had,UmF0aW5nLTIxNTY5MzU3
DigiPen Institute of Technology - Antoine Abi Chacra CS230,CS230 Computer Science,2,"CS230 was useless, for the most part. None of the stuff that was taught was usable the next semester, other than basic math libraries. The class would be a lot better if it covered component based design and at least a basic look at graphics. Bad implementation features more time than proper implementation.",UmF0aW5nLTIyNDAwMzMw
DigiPen Institute of Technology - Antoine Abi Chacra CS230,CS230 Computer Science,4,"CS 230 is a pretty silly class, it only exists to go along with GAM 150 so you can actually make a game. It would be better to go along with GAM 200, and cover component based design and actual graphics implementation, at least in my opinion. The professor, though, does teach the class well, and grades fairly, and did not create the curriculum.",UmF0aW5nLTIyOTIzOTc3
DigiPen Institute of Technology - Antoine Abi Chacra CS529,CS529 Computer Science,5,"The best professor in Master's class. Very clear instructions, assignments and grading criteria",UmF0aW5nLTI3MDM2MzAz
Imperial Valley College - . Fisher HIST121120,HIST121120 History,5,"Loved this class, makes history interesting and easy to understand. Love her energy, one of the best teachers IVC has and thats not too many",UmF0aW5nLTIzMjc0MzQw
Imperial Valley College - . Fisher HIST120,HIST120 History,5,She's very sweet.  She's a little boring but her class is easy.  All you really have to do is show up to class.,UmF0aW5nLTEzNzkxNzc2
Imperial Valley College - . Fisher HIST121,HIST121 History,4,"Ms.Fisher will accept SOME crashers not all, her class is easy, all you do is hear her lecture. you can fall asleep in class & she wont mind. all you need to do to pass the class is do the crosswords,midterm,bookpreport,& final. EASY class. boring at times  but recommend Ms.Fisher!",UmF0aW5nLTE2NTE4Mzc2
Imperial Valley College - . Fisher HT121,HT121 History,5,"Very easy! If you fail shame on you,since there is no way one could possibly fail. Esay points and the way to get are easy too!",UmF0aW5nLTE2MTUwNTM2
Imperial Valley College - . Fisher HIST111,HIST111 History,5,excellent teacher ... !!,UmF0aW5nLTE0Njg1NjEw
